SITE,name,place,parish_mod,parish_med,sculpt,SITE_TYPE,cenel,parish_ch,Pre-Settlement,pre-Ritual,NMR_num,chapel,chapel_lengh,chapel_width,door,orientation,material,date stand rem,enclosure,enclosure_dimen,materials,number_cists
chuld,Kilchousland,Kintyre,campbelltown,kilchouslandk,FALSE,encps,nGabráin,TRUE,>1,<2,NR72SE 1,TRUE,inc,inc,inc,E-W,rough corsed rubble,12-16c,TRUE ,inc,inc,0
kdonn,Kildonan,Kintyre,campbelltown,kilchouslandk,TRUE,encps,nGabráin,FALSE,>1,>1,NR72NE 10,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
adcrs,Ardnacross,Campbelltown,campbelltown,kilchouslandk,FALSE,encps,nGabráin,FALSE,>1,>1,NR72NE 14,TRUE,7.6,5.5,ind,E-W,stone?,ind,TRUE,30 x 24,stone?,0
kkrnd,Kilchrennan,Kilchrenan,kilchrennan and dalvich,kilchrenan,FALSE,encps,Loairn,TRUE,>1,>1,NN02SW 11.00,TRUE,15.1,6,inc,E-W,stone? ,13-18th c.,TRUE ,inc,inc,0
iserc,Innis Errich,Loch Awe,kilchrennan and dalvich,kilchrenanl,FALSE,encps,Loairn,FALSE,>1,<2,NM91SE 1,TRUE,10.1,4.7,W of N,E-W,stone?,15-16th c,TRUE ,28m,stone,0
klmvn,Kilmun,Loch Awe,kilchrennan and dalvich,kilchrenanl,FALSE,encps,Loairn,FALSE,<3,<3,NM91SE 7,TRUE,6.7,3.5,NW-Se,NW of NE ,stone?,ind,TRUE ,30 x 26,drystone,0
annat,Annat,kilchrenan,kilchrennan and dalvich,kilchrenanl,FALSE,plcnm,Loairn,FALSE,>1,>1,NN02SW 3,FALSE,,,,,,,FALSE,,,0
cacbh,Creag A' Chaibeil,Kilchrenan,kilchrennan and dalvich,kilchrenanl,FALSE,encps,Loairn,FALSE,>2,>1,NN01NW 3,TRUE,5.5,2.4,W of N,E-W,stone?,ind,TRUE ,25 x 29,inc,0
kmaha,Kilmaha,"Loch Awe, Lorn",kilchrennan and dalvich,kilchrenanl,TRUE,encpm,Loairn,FALSE,<3,<3,NM90NW 1,TRUE,6.5,2.4,Ne wall,NE-SW,drystone,ind,TRUE,inc,drystone,0
cbcat,Caibel Catriona,Southend,southend,kilcolmkillk,FALSE,encps,nGabráin,FALSE,>1,>1,NR61SW 1,TRUE,ind,ind,ind,ind,ind,ind,TRUE,12m sq.,,0
sthed,Kilcolmkill,"Southend, Kintyre",southend,kilcolmkillk,TRUE,encps,nGabráin,TRUE,>1,>1,NR60NE 1,TRUE,22.5,5.6,inc,E-W,rubble stone,12-13th c.,TRUE ,inc,inc,0
snins,St. Ninian's Chapel,Sanda,southend,kilcolmkillK,TRUE,encps,nGabráin,FALSE,<3,<3,NR70SW 1,TRUE,10.2,6.3,W of N,E-W,stone?,late medieval,TRUE ,inc,inc,0
felan,Feorlan,Southend,southend,kilcolmkillk,FALSE,encps,nGabráin,FALSE,>2,<3,NR60NW 2,TRUE,6.7,4.1,ind,E-W,ind,ind,TRUE ,24.4 x 16.5,stone/turf,0
crbhe,Crois bheinn,Morvern,morvern,kilcolmkillm,TRUE,isscp,Loairn,FALSE,<3,<3, NM55SE 7,FALSE,,,,,,,FALSE,,,0
claii,Cill an Ailean,"Glen Aros, Mull",kilninian and kilmore,kilcolmkillm,FALSE,encps,Oengusa,FALSE,<2,<3,NM54NW 2,TRUE,11,5.2,W of S,E-W,inc,13 c.,TRUE,60m sq.,drystone 19th,0
drvag,KilmoreD,Dervaig,kilninian and kilmore,kilcolmkillm,FALSE,encps,Loairn,TRUE,>1,>1, NM45SW 11.00,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
stmtb,St. Mary's,"Tobermorry, Mull",kilninian and kilmore,kilcolmkillm,FALSE,encps,Loairn,FALSE,>1,>2,NM55NW 2,TRUE,9.1,5.3,ind,E-W,stone?,16th c.,TRUE ,inc,inc,0
kudnm,Killundine,Morvern,morvern,kilcolmkillm,TRUE,encps,Loairn,FALSE,>1,>1,NM54NE 1,TRUE,7.6,3,south,E-W,inc,medieval,TRUE,inc,inc,0
clckl,Cill Cholumcille,Lochaline,morvern,kilcolmkillm,FALSE,encps,Loairn,TRUE,<3,>2,NM64NE 2,TRUE,ind,ind,ind,E-W,"rubble, sandstone dressings",12-15c.,TRUE,ind,ind,0
kntra,Kintra,"Kintra, Islay",kildalton and oa,kildaltoni,FALSE,longc,Oengusa,FALSE,<2,>2,NR34NW 28,FALSE,,,,,,,FALSE,,,1
trnsh,Trudernish,Islay,kildalton and oa,kildaltoni,TRUE,isscp,Oengusa,FALSE,>1,>1,NR45SE 1,FALSE,,,,,,,FALSE,,,0
ddmhi,Dóid Mháiri,"Port Ellen, Islay",kildalton and oa,kildaltoni,TRUE,isscp,Oengusa,FALSE,>2,>2,NR34NE 18,FALSE,,,,,,,FALSE,,,0
cetiy,Cill Eathain,Islay,kildalton and oa,kildaltoni,FALSE,encps,Oengusa,FALSE,>2,>2,NR24SE 1,TRUE,5,3.5,ind,NE-SW,ind,ind,TRUE ,inc,inc,0
clacb,Cill Á Chubein,Islay,kildalton and oa,kildaltoni,FALSE,encps,Oengusa,FALSE,>1,>1,NR45SE 1,TRUE,6,3,W of S,E-W,drystone rubble,ind,TRUE,48 x 30,stone,0
kdtni,Kildalton,Islay,kildalton and oa,kildaltoni,TRUE,encps,Oengusa,TRUE,>1,>1,NR45SE 3.00,TRUE,17.3,5.7,inc,E-W,boulders in lime mortat,12-13thc,TRUE ,inc,inc,0
calum,Callumkill,Islay,kildalton and oa,kildaltoni,FALSE,plcnm,Oengusa,FALSE,>1,>1,NR44NW 26,FALSE,,,,,,,FALSE,,,0
nacli,Cnoc na Cille,Brahunisary,kildalton and oa,kildaltoni,TRUE,isscp,Oengusa,FALSE,>1,>1,NR34NE 4,FALSE,,,,,,,FALSE,,,0
clchn,Cill Choman,Islay,kildalton and oa,kildaltoni,FALSE,encps,Oengusa,FALSE,>2,>2,NR34SW 4,TRUE,6.3,3.1,north?,E-W,drystone,ind,TRUE ,24 x 11,stone turf?,0
tkmal,Tockmal,Islay,kildalton and oa,kildaltoni,FALSE,encps,Oengusa,FALSE,>2,>1,NR24NE 1,TRUE,5.6,3.2,W of N,E-W,stone?,ind,TRUE ,27 m diamter,stone?,0
luchg,Cill Luchaig,"Laphroaig, Islay",kildalton and oa,kildaltoni,FALSE ,encem,Oengusa,FALSE,>1,>1,NR34NE 16,FALSE,,,,,,,TRUE,24 X 13,,0
lagvn,Cill Mhoire,"Lagavulin, Islay",kildalton and oa,kildaltoni,FALSE,encem,Oengusa,FALSE,>1,>1,NR44NW 25,FALSE,,,,,,,TRUE ,13m diametre,stone,0
kbrdi,KilbrideI,Islay,kildalton and oa,kildaltoni,TRUE,encps,Oengusa,FALSE,>1,>1,NR34NE 6,TRUE,10.2,4.7,W of S,E-W,drystone, ind,TRUE ,22 X 15,turf and stone,0
cltbr,Cill Tobar Lasrach,Islay,kildalton and oa,kildaltoni,FALSE,encps,Oengusa,FALSE,>1,>1,NR34NE 1,TRUE,7.2,3.6,S,ind,ind,ind,TRUE ,13 x 11,turf/stone,0
texai,Texa,"Texa Island, Islay",kildalton and oa,kildaltoni,FALSE,encps,Oengusa,FALSE,>3,>3,NR34SE 2,TRUE,8.8,4.1,W of S,E-W,rubble shell/lime mortar,medieval,TRUE ,28 x 19,stone revetment,0
knavg,Kilnaughton,Islay,kildalton and oa,kildaltoni,FALSE,encps,Oengusa,FALSE,>2,>2,NR34NW 5,TRUE,11.7,4.5,W,E-W,local rubble lime mortar,medieval,TRUE ,inc,inc,0
cnocp,Cnoc Pollphail,Kilfinan,kilfinan,kilfinang,FALSE,encps,nGabráin,FALSE,>2,>1,NR96NW 6,TRUE,7.8,4.2,ind,E-W,sone?,ind,TRUE ,36 x 31m,stone,0
aucna,Auchana,Auchana,kilfinan,kilfinang,TRUE,isscp,nGabráin,FALSE,>1,>1,NR98SW 4,FALSE,,,,,,,FALSE,,,0
mrnck,St. Marnock's Field,Kilfinan,kilfinan,kilfinang,FALSE ,uncps,nGabráin,FALSE,<2,>1,NR97SW 17,TRUE,ind,ind,ind,inc,ind,ind,FALSE,,,0
kbdfn,KilbrideKF,Kilfinan,kilfinan,kilfinang,FALSE ,uncps,nGabráin,FALSE,>1,<2,NR96NE 5,TRUE,ind,ind,ind,inc,ind,ind,FALSE,,,0
kdvag,Kildavaig,Kilfinan,kilfinan,kilfinang,FALSE ,plcnm,nGabráin,FALSE,<3,>2,NR96NE 4,FALSE,,,,,,,FALSE,,,0
klfnk,Kilfinan,Kilfinan,kilfinan,kilfinang,TRUE,encps,nGabráin,TRUE,>1,>1,NR97NW 15,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,inc,inc,0
kfinm,Kilfinichen,Mull,kilfinichen and kilvickeon,kilfinicheni,FALSE,encps,Loairn,TRUE,>1,<3,NM42NE 1,TRUE,16,4.6,W of S,E-W,stone?,medieval,TRUE ,ind,ind,0
kdalg,Kildalloig,Kintyre,campbelltown,kilkerrank,FALSE ,plcnm,nGabráin,FALSE,>1,<3,NR71NE 4,FALSE,,,,,,,FALSE,,,0
carnc,St. Ciaran's Cave,Kintyre,campbelltown,kilkerrank,TRUE,caves,nGabráin,FALSE,>1,<2,NR71NE 1,FALSE,,,,,,,FALSE,,,0
kkrop,Kilkerran O.P.C.,Kintyre,campbelltown,kilkerrank,TRUE,encps,nGabráin,TRUE,>1,>2,NR71NW 2.00,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
kkopc,Kilkivan O.P.S.,Kintyre,campbelltown,kilkivank,FALSE,encps,nGabráin,TRUE,>1,>1,NR62SE 9,TRUE,17.4,7.2,W of N,E-W,local rubble with sandstone dressings,13th c.,TRUE ,inc,inc,0
klmgk,KilmaluagK,Kintyre,killean and kilchenzie,killeank,TRUE,encem,nGabráin,FALSE,>1,>1,NR73NW 10,FALSE,,,,,,,TRUE,9 x 6,inc,0
kcraw,Killocraw,Killocraw,killean and kilchenzie,killeank,FALSE,plcnm,nGabráin,FALSE,>1,>1,NR63SE 22,FALSE,,,,,,,FALSE,,,0
klenk,KilleanK,Kintyre,killean and kilchenzie,killeank,TRUE,encps,nGabráin,TRUE,>1,>1,NR64SE 1,TRUE,inc,inc,inc,E-W,"rubble, lime mortar",12-13th c.,TRUE ,inc,inc,0
cldnb,Cill Dhonnaig,Bonnavoulin,morvern,killintagm,FALSE,encps,Loairn,TRUE,>1,>1,NM55SE 2.00,TRUE,19.2,5.6,ind,WNW-ESE,inc,ind,TRUE,inc,inc,0
kmodn,Kilmodan,Clachan of Glendaruel,kilmodan,kilmadang,FALSE,encps,nGabráin,TRUE,>2,>1,NR98SE 5,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
kdlvn,Kildalvan,Kilmodan,kilmodan,kilmadang,FALSE,encps,nGabráin,FALSE,<3,>1,NS08NW 8,TRUE,6.5,3,ind,ESE-WNW,stone?,ind,TRUE ,40 x 25m,stone/turf,0
acoib,Achadh na Cille,Oib,north knapdale,kilmakcormek,FALSE,encem,Loairn,FALSE,<2,<2,NR78NE 1.00,FALSE,,,,,,,TRUE,19.0 x 10,stone?,0
kbdls,KilbrideLS,Loch Sween,north knapdale,kilmakcormek,TRUE,isscp,Loairn,FALSE,>1,>1,NR77NW 22,FALSE,,,,,,,FALSE,,,0
kmisa,Kilmichael of Inverlussa,North Knapdale,north knapdale,kilmakcormek,TRUE,encps,Loairn,FALSE,>2,>1,NR78NE 10,TRUE,7.4,4,ind,NW-SE,drystone,ind,TRUE ,31 x 19m,drystone,0
dnans,Dunans,North Knapdale,north knapdale,kilmakcormek,TRUE,isscp,Loairn,FALSE,>2,>1,NR89SW 12,FALSE,,,,,,,FALSE,,,0
dltct,Daltote cottage,North Knapdale,north knapdale,kilmakcormek,TRUE,encem,Loairn,FALSE,<3,<3,NR78SW 14,FALSE,,,,,,,TRUE,10 X 8.5,stone?,0
kyoib,KilmoryO,Oib,north knapdale,kilmakcormek,TRUE,isscp,Loairn,FALSE,>1,>1,NR79SE 7,FALSE,,,,,,,FALSE,,,0
newuv,New Ulva,North Knapdale,north knapdale,kilmakcormek,FALSE,encem,Loairn,FALSE,<2,>1,NR78SW 11,FALSE,,,,,,,TRUE,9 x 8,stone,0
keils,Keills,North Knapdale,north knapdale,kilmakcormek,TRUE,encps,Loairn,TRUE,<3,<3,NR68SE 2,TRUE,inc,inc,inc,E-W,rubble,inc,TRUE ,inc,inc,1
kmmag,Kilmahumaig,North Knapdale,north knapdale,kilmakcormek,TRUE,encps,Loairn,FALSE,>1,>1,NR79SE 20.00,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,inc,inc,0
tyish,Taynish Island,North Knapdale,north knapdale,kilmakcormek,TRUE,modsc,Loairn,FALSE,0,0,NR78SW 5,FALSE,,,,,,,FALSE,,,0
clmad,Cille Mhaodain,Ardgour,ardgour,kilmalie,FALSE,encps,Loairn,FALSE,<3,<3,NN06NW 1,TRUE,ind,ind,ind,ind,in,ind,TRUE,inc,lime-mortar stone (19thc),0
clmhr,Cill MhairiL,Ludale,morvern,kilmaliem,FALSE,encem,Loairn,FALSE,<2,<2,NM75NW 2,FALSE,,,,,,,TRUE,30x26,a,0
kmrrw,Kilmarow,Kilmarow,killean and kilchenzie,kilmarowk,FALSE,encps,nGabráin,TRUE,>1,>1,NR62NE 25,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
toran,Torran,Kilmartin,kilmartin,kilmartin,TRUE,isscp,Loairn,FALSE,>1,>1,NM80SE 37,FALSE,,,,,,,FALSE,,,0
kmrtn,Kilmartin,Kilmartin,kilmartin,kilmarting,TRUE,encps,Loairn,TRUE,>1,>1,NR89NW 8,TRUE,inc,inc,inc,E-W,boulders in lime mortat,medieval,TRUE ,inc,inc,0
crtmh,Creganterve Mhór,Slockavullin,kilmartin,kilmarting,TRUE,modsc,Loairn,FALSE,0,0, NR89NW 78,FALSE,,,,,,,FALSE,,,0
badrm,Brouch an Drummin,Kilmartin,kilmartin,kilmarting,TRUE,longc,Loairn,FALSE,>1,>1,NR89NW 37,FALSE,,,,,,,FALSE,,,4
klmfd,Kilmelford O.P.C.,Kilmelford,kilninver and kilmelford,kilmelfordl,FALSE,encps,Loairn,TRUE,>1,>1,NM81SW 10,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
kmopc,Kilmichael O.P.C.,Kintyre,campbelltown,kilmichaelk,FALSE,encps,nGabráin,TRUE,>1,>1,NR62SE 8,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
kbbgd,Kilbride burial ground,Glen Feochan,kilmore and kilbride,kilmorel,FALSE ,plcnm,Loairn,FALSE,>1,>2,NM92SW 8,FALSE,,,,,,,FALSE,,,0
kbean,KilmoreGF,Glen Feochan,kilmore and kilbride,kilmorel,FALSE,encps,Loairn,TRUE,>1,>1,NM82SE 6,TRUE,17.1,6.5,inc,E-W,inc,medieval,TRUE ,inc,inc,0
ancoi,Cleigh Na H-Annait,Lorn,kilmore and kilbride,kilmorel,FALSE,encpm,Loairn,FALSE,>1,>1,NM92NW 17,TRUE,7.5,4,ind,E-W,stone,ind,TRUE,inc,stone,0
kchcw,Kilmorich,Cairndow,lochgoilhead and kilmorich,kilmorich,TRUE,encps,nGabráin,TRUE,<3,<3,NN11SE 3,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,.39 acres,inc,0
kdarn,Kildonan Chapel,Arran,kilmory,kilmorya,FALSE,uncps,nGabráin,FALSE,>2,>1,NS02SW 17,TRUE,ind,ind,ind,ind,ind,ind,FALSE,,,4
kbdan,Kilbride,"Bennan, Arram",kilmory,kilmorya,FALSE ,encps,nGabráin,FALSE,>2,>2,NR92SE 7,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
kptka,Kilpatrick,Arran,kilmory,kilmorya,FALSE ,encps,nGabráin,FALSE,>1,>1,NR92NW 6,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
kmyan,"Kilmory, Sliddery","Sliddery, Arran",kilmory,kilmorya,FALSE,encps,nGabráin,TRUE,<3,>1,NR92SW 10,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,inc,inc,0
sdchl,Suidhe Challumchille,Arran,kilmory,kilmorya,FALSE ,plcnm,nGabráin,FALSE,0,>1,NR93NE 2,FALSE,,,,,,,FALSE,,,0
auchg,Auchengallon,Arran,kilmory,kilmorya,FALSE ,encps,nGabráin,FALSE,<3,>1,NR83NE 3,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,55 x 32,stone,0
molio,St. Molio's,"Shiskine, Arran",kilmory,kilmorya,FALSE ,encps,nGabráin,FALSE,>1,>1,NR93SW 19,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
hlylh,Kilmun Holy Loch,St. Mun,dunoon and kilmun,kilmun,FALSE,encps,nGabráin,TRUE,<3,<3,NS18SE 1.00,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
klbrn,Kilbrennan,Mull,kilninian and kilmore,kilninian,FALSE,encps,Loairn,FALSE,>1,<3,NM44SW 3,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,24 m. dia.,stone/turf,0
crakg,Crackaig,Mull,kilninian and kilmore,kilninian,FALSE,encps,Loairn,FALSE,<2,<3,NM34NE 2,TRUE,5.2,3.3,W,E-W,stone?,ind,TRUE ,25 x 15.2,stone,0
baile,Bail' A' Chlaidh,"Geometra, Mull",kilninian and kilmore,kilninianm,FALSE,encem,Loairn,FALSE,>1,<3,NM34SE 9,FALSE,,,,,,,TRUE,ind,turf bank,0
klnan,Kilninian O.P.C.,Mull,kilninian and kilmore,kilninianm,FALSE,encps,Loairn,TRUE,>1,>1,NM34NE 16,TRUE,ind,ind,ind,ind,ind,18th c.,TRUE ,inc,inc,0
kmaml,Kilmaluag,Mull,kilninian and kilmore,kilninianm,FALSE,encem,Loairn,FALSE,>1,<3,NM34NE 15,FALSE,,,,,,,TRUE,50m diameter,drystone,0
cimhc,Cille Mhic Eoghainn,Ulva Island,kilninian and kilmore,kilninianm,FALSE,encps,Loairn,FALSE,<3,>1,NM33NE 1,TRUE,ind,ind,ind,indi,ind,ind,TRUE ,35 x 22,drystone,0
culva,Cille Mhic EoghainnK,Ulva,kilninian and kilmore,kilninianm,FALSE,encps,Loairn,TRUE,<3,>1,NM33NE 1,TRUE,9.5,4.4,ind,E-W,stone?,ind,TRUE ,35. x 22m,stone,0
trfld,Treshnish Isles,Fladda,kilninian and kilmore,kilninianm,FALSE,encps,Loairn,FALSE,<3,<3,NM24SE 2,TRUE,8,4,ind,E-W,ind,ind,TRUE ,16 x 12m,rubble,0
clgym,Calgary,Mull,kilninian and kilmore,kilninianm,TRUE,encem,Loairn,FALSE,<1,<3,NM35SE 24,FALSE,,,,,,,TRUE,inc,lime-mortar stone (19thc),0
knver,Kilninver,Kilninver,kilninver and kilmelford,kilninverl,FALSE,encps,Loairn,TRUE,>2,>1,NM82SW 20,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
clibr,Cill an Inbhire,Lorn,kilninver and kilmelford,kilninverl,FALSE,plcnm,Loairn,FALSE,>1,>1,NM82SW 21,FALSE,,,,,,,FALSE,,,0
knaig,Kilnuaig,Pennyghael,kilfinichen and kilvickeon,kilvickeoni,FALSE,encem,Loairn,FALSE,>1,>1,NM42NE 6,FALSE,,,,,,,TRUE,inc,19th c. stone,0
stmcm,St. Mary's,"Carsaig, Mull",kilfinichen and kilvickeon,Kilvickeoni,TRUE,encps,Loairn,FALSE,<3,<3,NM52SW 2,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
sldub,Slugan Dubh,Mull,kilfinichen and kilvickeon,kilvickeoni,FALSE,longc,Loairn,FALSE,>2,>2,NM22SE 114,FALSE,,,,,,,FALSE,,,2
kvckn,Kilvickeon,Mull,kilfinichen and kilvickeon,kilvickeoni,FALSE,encps,Loairn,TRUE,>1,>1,NM41NW 1 ,TRUE,13.1,5.7,W of N,E-W,slab boulders,13th c.,TRUE ,inc,inc,0
scoor,Scoor Cave,Mull,kilfinichen and kilvickeon,kilvickeoni,TRUE,caves,Loairn,FALSE,>1,>1, NM41NW 5,FALSE,,,,,,,FALSE,,,0
nuncv,Nun's Cave,"Carsaig, Mull",kilfinichen and kilvickeon,kilvickeoni,TRUE,caves,Loairn,FALSE,<3,<3,NM52SW 1,FALSE,,,,,,,FALSE,,,0
trand,Torr Na H'Annaid,Mull,kilfinichen and kilvickeon,kilvickeoni,FALSE,plcnm,Loairn,FALSE,>2,>1,NM32SE 12,FALSE,,,,,,,FALSE,,,0
clmho,Cille mhoire,Knockvolagan,kilfinichen and kilvickeon,kilvickeoni,FALSE ,plcnm,Loairn,FALSE,>3,>2,NM31NW 4,FALSE,,,,,,,FALSE,,,0
kltrk,Kilpatrick,Mull,kilfinichen and kilvickeon  ,kilvivkeoni,FALSE,encem,Loairn,FALSE,>1,<2,NM42SW 1,FALSE,,,,,,,TRUE,ind,ind,0
penny,Perryghael House,Mull,kilfinichen and kilvickeon,kilvivkeoni,TRUE,modsc,Loairn,FALSE,0,0,NM52NW 15,FALSE,,,,,,,FALSE,,,0
kcbte,Kilchattan/Kingarth O.P.C.,Bute,kingarth,kingarthi,FALSE,encps,nGabráin,TRUE,>1,>1,NS15NW 6,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
kblnb,St. Blane's,Bute,kingarth,kingarthi,TRUE,encpm,nGabráin,FALSE,>1,>1,NS05SE 5,TRUE,inc,inc,inc,E-W,stone,12th,TRUE ,200m,stone,0
bphsh,Balephetrish,Tiree,tiree,kirkapolli,FALSE,plcnm,Loairn,FALSE,>1,>1,NM04NW 18,FALSE,,,,,,,FALSE,,,0
calst,Caolas,Tiree,tiree,kirkapolli,TRUE,encem,Loairn,FALSE,>2,>2,NM04NE 5,FALSE,,,,,,,TRUE,ind,ind,0
kpolb,Kirkapoll Old Parish Church,"Kirkapol, Tiree",tiree,kirkapolli,TRUE,encps,Loairn,TRUE,<2,<2,NM04NW 2,TRUE,11,5.2,centre of W,E-W,rubble in lime mortar,14c.,TRUE,inc,inc,0
kpola,Kirkapol1,Tiree,tiree,kirkapolli,FALSE,uncps,Loairn,FALSE,<2,<2, NM04NW 1,TRUE,7,3.4,W of S,E-W,rubble in lime mortar,14c.,FALSE,,,0
kadst,Kilandrist,Lismore,lismore and appin,lismorel,FALSE,plcnm,Loairn,FALSE,>1,>1,NM84SE 4,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,5 x 5 approx.,ind,0
bernr,Bernera Island,Lismore,lismore and appin,lismorel,FALSE,encps,Loairn,FALSE,<2,<3,NM73NE 1,TRUE,,,ind,,ind,ind,TRUE,11m sq.,stone?,0
keill,Keil Chapel,Duror,lismore and appin,lismorel,FALSE ,encps,Loairn,FALSE,<3,>2,NM95SE 2,TRUE,12.3,5.6,W of N,E-W,stone?,late medieval,TRUE ,inc,inc,0
appin,Appin Parish Church (Annat),Appin,lismore and appin,lismorel,FALSE ,plcnm,Loairn,FALSE,>2,>2,NM94NW 7,FALSE,,,,,,,FALSE,,,0
klard,Kilmalieu,Kilmalieu,ardgour,lismorel,FALSE,plcnm,Loairn,FALSE,<3,<3,NM85NE 1,TRUE,ind,ind,ind,ind,ind,ind,FALSE,ind,ind,0
clchr,Cill ChiarainL,Lismore,lismore and appin,lismorel,FALSE,plcnm,Loairn,FALSE,>1,>1,NM83NW 17,FALSE,,,,,,,FALSE,,,0
dailk,Dail Na Cille,Kingairloch,ardgour,lismorel,FALSE,encem,Loairn,FALSE,<3,<3,NM85SW 1,FALSE,,,,,,,TRUE,,,0
killm,"Killean, Lismore","Achnacroish, Lismore",lismore and appin,lismorel,FALSE ,encps,Loairn,FALSE,>1,>1,unknown,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
kmlis,KilmoluagL,"Clachan, Lismore",lismore and appin,lismorel,TRUE,encps,Loairn,TRUE,>1,>1,NM84SE 5 ,TRUE,,,W,E-W,rubble with sandstone dressings,12-14th c.,TRUE,,various,0
cdchc,Cladh Churiollan,Creagan,lismore and appin,lismorel,FALSE,encps,Loairn,FALSE,<3,>2,NM94NE 2,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,30 x 18m,drystone,0
cilsu,Cill an T-Suidhe,Lismore,lismore and appin,lismorel,FALSE,encps,Loairn,FALSE,<2,<2,NM84SW 3,TRUE,ind,ind,ind,ind,ind,ind,TRUE,ind,ind,0
ctbrh,Church of the Three Brothers,Lochgoilhead,lochgoilhead and kilmorich,lochgoilheadg,TRUE,encps,nGabráin,TRUE,<3,<3,NN10SE 4,TRUE,inc,inc,inc,E-W,rubble and lime mortar,15 c.,TRUE,inc,inc,0
kuare,Kilvaree,Kilvree,ardchattan and muckairn,muckairnl,FALSE,plcnm,Loairn,FALSE,<3,>1,NM93SW 2,TRUE,ind,ind,ind,ind,ind,ind,TRUE,ind,ind,0
kspkr,Kilspekeral O.P.C.,Muckairn,ardchattan and muckairn,muckairnl,FALSE,encps,Loairn,TRUE,>2,>1, NN03SW 2,TRUE,ind,5.6,south,E-W,inc,14-15c.,TRUE,inc,inc,0
clnha,Cladh Na H' Annait,Ardchattan,ardchattan and muckairn,muckairnl,FALSE,encem,Loairn,FALSE,<2,<2,NN02NW 1,FALSE,,,,,,,TRUE,17x14m,stony bank,0
tnacr,Tom na Croise,Glenmacrie,ardchattan and muckairn,muckairnl,TRUE,isscp,Loairn,FALSE,>1,>1,NM92NW 9,FALSE,,,,,,,FALSE,,,0
kilma,Kilmaronag,Lorn,ardchattan and muckairn,muckairnl,FALSE,encps,Loairn,FALSE,<2,<2,NM93SW 14,TRUE,23,9.5,south,E-W,inc,ind,TRUE,30x20,stone,0
rothe,St. Mary's Church,"Rothesay, Bute",rothesay,rothesay,TRUE,encps,nGabráin,TRUE,>1,>1,NS06SE 1,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
ichmp,Inchmarnock,"Midpark, Bute",north bute,rothesay,TRUE,encps,nGabráin,FALSE,<3,>2,NS05NW 2,TRUE,11.7,6.2,inc,E-W,"local schist rubble, lime mortar",12th c. ,TRUE ,inc,inc,0
stnin,"St. Ninian's, Bute",Bute,north bute,rothesay,FALSE,encps,nGabráin,FALSE,>3,>1,NS06SW 4,TRUE,6.3,4,S,E-W,stone?,ind,TRUE ,24 x 23.5,stone,0
kmybt,Kilmory Chapel,Bute,north bute,rothesay,TRUE,encps,nGabráin,FALSE,>1,>1,NS05NW 1,TRUE,9.1,4.8,Ne wall,E-W,drystone,ind,TRUE ,ind,ind,0
kmbye,KilmichaelB,Bute,north bute,rothesay,FALSE,encps,nGabráin,FALSE,>1,>1,NR97SE 3,TRUE,5.7,3.8,ind,E-W,stone?,ind,TRUE ,inc,inc,0
macha,St. Cormac's,Bute,north bute,rothesay,TRUE,encps,nGabráin,FALSE,>1,>1,NS06NW 1,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
kchnb,Kilchousland,Bute,north bute,rothesay,FALSE ,encps,nGabráin,FALSE,>2,>1,NS06SW 3,TRUE,8.3,4.1,south,ENE-WSW,stone?,ind,TRUE ,ind,ind,0
brder,St. Bride's Church,"Rothesay, Bute",rothesay,rothesay,FALSE ,encps,nGabráin,FALSE,>1,>2,NS06SE 8,TRUE,ind,ind,ind,ind,ind,ind,TRUE ,ind,ind,0
cbght,Cladh Beag,Hynish Tiree,tiree,sorobyi,TRUE,encem,Loairn,FALSE,>1,>1, NL93NE 4,FALSE,,,,,,,TRUE,ind,ind,0
